Unique Response ID,Gender,Age,Country they Currently Reside In,Primary Language,Writing Level,Awarness of Haus für Poesie ,How they Discovered Haus für Poesie,Brands they are Aware Of,Brands they Use,Experience with Haus für Poesie,Likeliness to Recommend Haus für Poesie to Others,Usability of Haus für Poesie's Website,Findability of Haus für Poesie's Website,Appeal of Haus für Poesie's Website
R_2DXIeKLxa8miUfz,Female,35-44 years old,Germany,German,I write professionally,Yes,Other literary organizations or events,"Haus für Poesie,lyrikline,poesiefestival berlin,Komm zur sprache,lyrikklub",lyrikline,Positive,Extremely Likely,Easy to Use,Easy,Appealing
R_2cd3FpSa0Oeh5Lx,Female,55-64 years old,Germany,French,I am not interested in writing,Yes,Other literary organizations or events,"Haus für Poesie,lyrikline,poesiefestival berlin,ZEBRA Poetry Film Festival,open mike,VERSschmuggel / reVERSible,lyrikklub","Haus für Poesie,lyrikline,poesiefestival berlin",Very Positive,Extremely Likely,Very Easy to Use,Very Easy,Appealing
R_4JFo7IYJvoXnZgv,Female,18-24 years old,Germany,German,I write as a hobby,No,Online Advertising,"Haus für Poesie,lyrikline,poesiefestival berlin,ZEBRA Poetry Film Festival,open mike,lyriklab","Haus für Poesie,lyrikline",Very Positive,Extremely Likely,Neutral,Very Easy,Very Appealing
R_3QMn2P39o6RiRfR,Male,45-54 years old,Germany,German,"I don't write much, but enjoy reading what others have written",No,Online Advertising,lyrikline,lyrikline,Neutral or Unsure,Neither Likely nor Unlikely,Neutral,Neutral,Neutral
R_27jIbzxKcylkqZy,Female,18-24 years old,Germany,English,I write as a hobby,Yes,Online Advertising,"Haus für Poesie,lyrikline,poesiefestival berlin,ZEBRA Poetry Film Festival,open mike,lyrikklub","Haus für Poesie,poesiefestival berlin,ZEBRA Poetry Film Festival,lyrikklub",Positive,Extremely Likely,Neutral,Very Easy,Very Appealing
R_2nudGk8UN4hCVzc,Male,25-34 years old,Germany,German,I write professionally,Yes,"Friend, Coworker, Family member,Other literary organizations or events","Haus für Poesie,lyrikline,poesiefestival berlin,ZEBRA Poetry Film Festival,open mike,VERSschmuggel / reVERSible,lyriklab,Komm zur sprache,lyrikklub","Haus für Poesie,lyrikline",Positive,Extremely Likely,Neutral,Very Easy,Appealing
R_2UinGW92FsaBtne,Female,25-34 years old,Netherlands,-None of these-,I write professionally,Yes,"Friend, Coworker, Family member","Haus für Poesie,lyrikline,poesiefestival berlin,ZEBRA Poetry Film Festival,open mike,lyrikklub",Haus für Poesie,Very Positive,Extremely Likely,Very Easy to Use,Easy,Appealing
R_1PpO9YZwGfDIRE7,Female,55-64 years old,Germany,German,I write professionally,Yes,"Friend, Coworker, Family member","Haus für Poesie,lyrikline,poesiefestival berlin,ZEBRA Poetry Film Festival,open mike,VERSschmuggel / reVERSible,lyriklab,Komm zur sprache,lyrikklub","Haus für Poesie,lyrikline",Positive,Somewhat Likely,Very Easy to Use,Very Easy,Very Appealing
R_2fAKmMK8Iq5D985,Female,55-64 years old,Germany,German,I write professionally,Yes,Other literary organizations or events,"Haus für Poesie,lyrikline,poesiefestival berlin,ZEBRA Poetry Film Festival,open mike,VERSschmuggel / reVERSible,lyrikklub",Haus für Poesie,Positive,Somewhat Likely,Easy to Use,Easy,Appealing
R_2EB6dNvr4thE0Ex,Female,65-74 years old,Germany,German,I write professionally,No,Other literary organizations or events,"Haus für Poesie,poesiefestival berlin,ZEBRA Poetry Film Festival,open mike,lyrikklub",Haus für Poesie,Neutral or Unsure,Neither Likely nor Unlikely,Easy to Use,Easy,Appealing
