Unique Response ID,Gender,Age,Country they Currently Reside In,Primary Language,Writing Level,Awarness of Haus für Poesie ,How they Discovered lyrikline,Brands they are Aware Of,Brands they Use,Experience with lyrikline,Likeliness to Recommend lyrikline to Others,Experience with Haus für Poesie ,Usability of lyrikeline's Website,Findability of lyrikline's Website,Appeal of lyriklines's Website
R_8MFTyud0QBuegmt,Male,55-64 years old,Germany,German,I am not interested in writing,No,Other literary organizations or events,"Haus für Poesie,lyrikline,poesiefestival berlin",lyrikline,Very Positive,Extremely Likely,Neutral or Unsure,Easy to Use,Difficult,Very Appealing
R_4jCgk7Uo9R6Xfko,Male,35-44 years old,Germany,German,I am a student studying Writing,No,"Friend, Coworker, Family member","Haus für Poesie,lyrikline,poesiefestival berlin,open mike,lyriklab","Haus für Poesie,lyrikline",Very Positive,Extremely Likely,Very Positive,Easy to Use,Neutral,Appealing
R_2nTJV70kRzS251B,Female,75+ years old,Sweden,German,"I don't write much, but enjoy reading what others have written",Yes,Other literary organizations or events,"Haus für Poesie,lyrikline,poesiefestival berlin,ZEBRA Poetry Film Festival",lyrikline,Very Positive,Extremely Likely,Very Positive,Very Easy To Use,Very Easy,Appealing
R_27gZWT3XegDC9cR,Female,55-64 years old,Germany,German,"I don't write much, but enjoy reading what others have written",No,Other literary organizations or events,"lyrikline,open mike",,Very Positive,Extremely Likely,,Very Easy To Use,Very Easy,Appealing
R_3abpItLAzf3CKql,Female,25-34 years old,Germany,German,"I don't write much, but enjoy reading what others have written",Yes,Other literary organizations or events,"Haus für Poesie,lyrikline,poesiefestival berlin,VERSschmuggel / reVERSible,lyriklab","lyrikline,VERSschmuggel / reVERSible",Very Positive,,Very Positive,Easy to Use,Very Easy,Very Appealing
R_2EbU9nFoGEksV1x,Female,45-54 years old,Germany,German,I write professionally,Yes,Other literary organizations or events,"Haus für Poesie,lyrikline,poesiefestival berlin,ZEBRA Poetry Film Festival,open mike,VERSschmuggel / reVERSible,lyriklab,Komm zur sprache,lyrikklub","Haus für Poesie,lyrikline",Very Positive,Extremely Likely,Positive,Easy to Use,Easy,Appealing
R_7oMq0DkUdyiiW09,Other,75+ years old,Germany,Spanish,I write professionally,No,"Friend, Coworker, Family member",lyrikline,lyrikline,Positive,Extremely Unlikely,,Neutral,Neutral,Neutral
R_6v04lqeF5oKFQKg,Male,55-64 years old,Germany,German,I write professionally,No,Online Advertising,"lyrikline,open mike",lyrikline,Neutral or Unsure,Neither Likely nor Unlikely,,Neutral,Neutral,Neutral
R_2Q04R8WfB2cWu5t,Male,45-54 years old,Germany,German,"I don't write much, but enjoy reading what others have written",No,Other literary organizations or events,"lyrikline,poesiefestival berlin,ZEBRA Poetry Film Festival,VERSschmuggel / reVERSible",lyrikline,Very Positive,Extremely Likely,,Easy to Use,Neutral,Appealing
R_4r4Ks3ZY8cI9DVv,Other,35-44 years old,Germany,German,"I don't write much, but enjoy reading what others have written",Yes,"Friend, Coworker, Family member,Other literary organizations or events","Haus für Poesie,lyrikline",lyrikline,Very Positive,Extremely Likely,Neutral or Unsure,Easy to Use,Easy,Very Appealing
R_4aHxq0dz77Yp4NX,Male,45-54 years old,Austria,German,I write professionally,Yes,"Friend, Coworker, Family member","Haus für Poesie,lyrikline,poesiefestival berlin,open mike,lyriklab",lyrikline,Very Positive,Extremely Likely,Very Positive,Very Easy To Use,Very Easy,Very Appealing
R_2vYseKzxvlcHDCW,Male,75+ years old,Germany,German,I write professionally,No,Other literary organizations or events,Haus für Poesie,Haus für Poesie,,Extremely Unlikely,Neutral or Unsure,Neutral,Neutral,Neutral
